Address,City,State,Median Household Income,Address_Clean
"CRIMSON CT, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","crimson ct, vanderburgh county, in"
"EARL AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","earl ave, vanderburgh county, in"
"HARTSAW CT, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","hartsaw ct, vanderburgh county, in"
"S KENTUCKY AVE AND TAYLOR AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s kentucky ave and taylor ave, vanderburgh county, in"
"LYNN RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","lynn rd, vanderburgh county, in"
"E DIAMOND AVE AND N HEIDELBACH AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","e diamond ave and n heidelbach ave, vanderburgh county, in"
"S ROTHERWOOD AVE AND TAYLOR AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s rotherwood ave and taylor ave, vanderburgh county, in"
"CARRIAGE DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","carriage dr, vanderburgh county, in"
"E MORGAN AVE AND THEATER DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","e morgan ave and theater dr, vanderburgh county, in"
"E MORGAN AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","e morgan ave, vanderburgh county, in"
"SEASONS RIDGE BLVD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","seasons ridge blvd, vanderburgh county, in"
"KANSAS RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","kansas rd, vanderburgh county, in"
"OLD FRANKFORT PIKE, Frankfort, KY",Frankfort,KY,"$53,905","old frankfort pike, frankfort, ky"
"GREENVILLE ROAD, Hopkinsville, KY",Hopkinsville,KY,"$43,577","greenville road, hopkinsville, ky"
"PRINCETON STREET AND CROFTON-FRUITHILL ROAD, Crofton, KY",Crofton,KY,"$42,986","princeton street and crofton-fruithill road, crofton, ky"
"LINDA LANE, Cadiz, KY",Cadiz,KY,"$39,439","linda lane, cadiz, ky"
"PLUM STREET, Hopkinsville, KY",Hopkinsville,KY,"$43,577","plum street, hopkinsville, ky"
"1700 BLOCK OF CANTON STREET, Hopkinsville, KY",Hopkinsville,KY,"$43,577","1700 block of canton street, hopkinsville, ky"
"500 BLOCK OF CANTON STREET, Hopkinsville, KY",Hopkinsville,KY,"$43,577","500 block of canton street, hopkinsville, ky"
"500 BLOCK OF W 17TH STREET, Hopkinsville, KY",Hopkinsville,KY,"$43,577","500 block of w 17th street, hopkinsville, ky"
"HOUSEMAN STREET, Mayfield, KY",Mayfield,KY,"$42,589","houseman street, mayfield, ky"
"NORTHERN KENTUCKY UNIVERSITY 1 LOUIE B NUNN DR HIGHLAND HEIGHTS KY 41099, Highland Heights, KY",Highland Heights,KY,"$44,910","northern kentucky university 1 louie b nunn dr highland heights ky 41099, highland heights, ky"
"DANIEL BOONE ROAD, Gate City, VA",Gate City,VA,"$37,543","daniel boone road, gate city, va"
"100 BLOCK OF S MAPLE ST, Hardin County, KY",Hardin County,KY,"$64,136","100 block of s maple st, hardin county, ky"
"200 BLOCK OF COLLEGE ST, Hardin County, KY",Hardin County,KY,"$64,136","200 block of college st, hardin county, ky"
"500 BLOCK OF CHARLEMAGNE BLVD, Hardin County, KY",Hardin County,KY,"$64,136","500 block of charlemagne blvd, hardin county, ky"
"3396- DIXIE HWY, Hardin County, KY",Hardin County,KY,"$64,136","3396- dixie hwy, hardin county, ky"
"200 BLOCK OF PEACHTREE ST, Hardin County, KY",Hardin County,KY,"$64,136","200 block of peachtree st, hardin county, ky"
"100 BLOCK OF PLUM ALY, Hardin County, KY",Hardin County,KY,"$64,136","100 block of plum aly, hardin county, ky"
"16000- LEITCHFIELD RD, Hardin County, KY",Hardin County,KY,"$64,136","16000- leitchfield rd, hardin county, ky"
"100 BLOCK OF COLLEGE ST, Hardin County, KY",Hardin County,KY,"$64,136","100 block of college st, hardin county, ky"
"400 BLOCK OF VILLAGE DR, Hardin County, KY",Hardin County,KY,"$64,136","400 block of village dr, hardin county, ky"
"100 BLOCK OF DEERGROVE CT, Hardin County, KY",Hardin County,KY,"$64,136","100 block of deergrove ct, hardin county, ky"
"UNIVERSITY DR AND SAINT JOHN RD, Hardin County, KY",Hardin County,KY,"$64,136","university dr and saint john rd, hardin county, ky"
"HELM ST AND S MAIN ST, Hardin County, KY",Hardin County,KY,"$64,136","helm st and s main st, hardin county, ky"
"600 BLOCK OF COLLEGE STREET RD, Hardin County, KY",Hardin County,KY,"$64,136","600 block of college street rd, hardin county, ky"
"BLANKENBAKER PKWY, MIDDLETOWN, KY",MIDDLETOWN,KY,"$81,881","blankenbaker pkwy, middletown, ky"
"10800 BLOCK HELMSDALE LN, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","10800 block helmsdale ln, douglass hills, ky"
"700 BLOCK LA FONTENAY CT, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","700 block la fontenay ct, douglass hills, ky"
"200 BLOCK LA FONTENAY DR, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","200 block la fontenay dr, douglass hills, ky"
"10200 BLOCK BLUE RIDGE CT, BLUE RIDGE MANOR, KY",BLUE RIDGE MANOR,KY,"$70,833","10200 block blue ridge ct, blue ridge manor, ky"
"1200 BLOCK LA FONTENAY CT, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","1200 block la fontenay ct, douglass hills, ky"
"200 BLOCK LAURIE VALLEE RD, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","200 block laurie vallee rd, douglass hills, ky"
"10400 BLOCK SHELBYVILLE RD, BLUE RIDGE MANOR, KY",BLUE RIDGE MANOR,KY,"$70,833","10400 block shelbyville rd, blue ridge manor, ky"
"900 BLOCK BLANKENBAKER PKY, MIDDLETOWN, KY",MIDDLETOWN,KY,"$81,881","900 block blankenbaker pky, middletown, ky"
"600 BLOCK LA FONTENAY CT, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","600 block la fontenay ct, douglass hills, ky"
"10200 BLOCK SHELBYVILLE RD, BLUE RIDGE MANOR, KY",BLUE RIDGE MANOR,KY,"$70,833","10200 block shelbyville rd, blue ridge manor, ky"
"200 BLOCK MOSER RD, BLUE RIDGE MANOR, KY",BLUE RIDGE MANOR,KY,"$70,833","200 block moser rd, blue ridge manor, ky"
"800 BLOCK STONEYKIRK DR, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","800 block stoneykirk dr, douglass hills, ky"
"10200 BLOCK RADFORD RD, BLUE RIDGE MANOR, KY",BLUE RIDGE MANOR,KY,"$70,833","10200 block radford rd, blue ridge manor, ky"
"400 BLOCK ROSEWOOD CT, BLUE RIDGE MANOR, KY",BLUE RIDGE MANOR,KY,"$70,833","400 block rosewood ct, blue ridge manor, ky"
"10300 BLOCK DORSEY VILLAGE DR, BLUE RIDGE MANOR, KY",BLUE RIDGE MANOR,KY,"$70,833","10300 block dorsey village dr, blue ridge manor, ky"
"500 BLOCK WESTWOOD DR, WOODLAND HILLS, KY",WOODLAND HILLS,KY,"$90,096","500 block westwood dr, woodland hills, ky"
"11200 BLOCK FINCHLEY RD, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","11200 block finchley rd, douglass hills, ky"
"1400 BLOCK LA FONTENAY CT, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","1400 block la fontenay ct, douglass hills, ky"
"10600 BLOCK SYCAMORE CT, SYCAMORE, KY",SYCAMORE,KY,"$73,333","10600 block sycamore ct, sycamore, ky"
"500 BLOCK GATEHOUSE LN, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","500 block gatehouse ln, douglass hills, ky"
"900 BLOCK LA FONTENAY CT, DOUGLASS HILLS, KY",DOUGLASS HILLS,KY,"$90,760","900 block la fontenay ct, douglass hills, ky"
"00 BLOCK OF RIVERVIEW LN, Felicity, OH",Felicity,OH,"$34,821","00 block of riverview ln, felicity, oh"
"1100 BLOCK OF RICHEY RD, Felicity, OH",Felicity,OH,"$34,821","1100 block of richey rd, felicity, oh"
"3200 BLOCK OF U S ROUTE 52, Felicity, OH",Felicity,OH,"$34,821","3200 block of u s route 52, felicity, oh"
"300 BLOCK OF SR 133, Felicity, OH",Felicity,OH,"$34,821","300 block of sr 133, felicity, oh"
"3600 BLOCK OF SR 756, Felicity, OH",Felicity,OH,"$34,821","3600 block of sr 756, felicity, oh"
"500 BLOCK OF FELICITY HIGGINSPORT RD, Felicity, OH",Felicity,OH,"$34,821","500 block of felicity higginsport rd, felicity, oh"
"500 BLOCK OF FELICITY HIGGINSP, Felicity, OH",Felicity,OH,"$34,821","500 block of felicity higginsp, felicity, oh"
"E 5TH ST AND CEMETERY ST, Manchester, OH",Manchester,OH,"$30,313","e 5th st and cemetery st, manchester, oh"
"3700 BLOCK OF MCINTYRE RD, Felicity, OH",Felicity,OH,"$34,821","3700 block of mcintyre rd, felicity, oh"
"PIKE HOUSE, Georgetown, KY",Georgetown,KY,"$74,530","pike house, georgetown, ky"
"CAMDEN-CARROLL LIBRARY, Morehead, KY",Morehead,KY,"$32,020","camden-carroll library, morehead, ky"
"MIGNON TOWER, Morehead, KY",Morehead,KY,"$32,020","mignon tower, morehead, ky"
"NUNN HALL, Morehead, KY",Morehead,KY,"$32,020","nunn hall, morehead, ky"
"CRAFT TOWER, Morehead, KY",Morehead,KY,"$32,020","craft tower, morehead, ky"
"MIGNON HALL, Morehead, KY",Morehead,KY,"$32,020","mignon hall, morehead, ky"
"PLAYFORTH DRIVE, Morehead, KY",Morehead,KY,"$32,020","playforth drive, morehead, ky"
"CARTMELL HALL, Morehead, KY",Morehead,KY,"$32,020","cartmell hall, morehead, ky"
"BAIRD MUSIC HALL, Morehead, KY",Morehead,KY,"$32,020","baird music hall, morehead, ky"
"AREA 14 PARKING LOT (HENRY WARD PLACE), Morehead, KY",Morehead,KY,"$32,020","area 14 parking lot (henry ward place), morehead, ky"
"PARKING AREA 18 (US 60 OVERFLOW LOT), Morehead, KY",Morehead,KY,"$32,020","parking area 18 (us 60 overflow lot), morehead, ky"
"ALUMNI TOWER, Morehead, KY",Morehead,KY,"$32,020","alumni tower, morehead, ky"
"GINGER HALL, Morehead, KY",Morehead,KY,"$32,020","ginger hall, morehead, ky"
"ACADEMIC ATHLETIC CENTER PARKING LOT, Morehead, KY",Morehead,KY,"$32,020","academic athletic center parking lot, morehead, ky"
"S RED BANK RD AND NURRENBERN RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s red bank rd and nurrenbern rd, vanderburgh county, in"
"NURRENBERN RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","nurrenbern rd, vanderburgh county, in"
"OLD HENDERSON RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","old henderson rd, vanderburgh county, in"
"BROADWAY AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","broadway ave, vanderburgh county, in"
"OLD HENDERSON RD AND KING RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","old henderson rd and king rd, vanderburgh county, in"
"ALTA VISTA DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","alta vista dr, vanderburgh county, in"
"SCOOPS LN, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","scoops ln, vanderburgh county, in"
"2400 BLOCK OF AMBRATO WAY, Covington, KY",Covington,KY,"$53,770","2400 block of ambrato way, covington, ky"
"2400 BLOCK OF ROLLING HILLS DR, Covington, KY",Covington,KY,"$53,770","2400 block of rolling hills dr, covington, ky"
"200 BLOCK OF HIGHLAND AVE, Covington, KY",Covington,KY,"$53,770","200 block of highland ave, covington, ky"
"100 BLOCK OF CROSBY PKWY, Covington, KY",Covington,KY,"$53,770","100 block of crosby pkwy, covington, ky"
"2100 BLOCK OF DIXIE HWY, Fort Mitchell, KY",Fort Mitchell,KY,"$74,830","2100 block of dixie hwy, fort mitchell, ky"
"2500 BLOCK OF CHELSEA DR, Fort Mitchell, KY",Fort Mitchell,KY,"$74,830","2500 block of chelsea dr, fort mitchell, ky"
"4100 BLOCK OF MADISON PIKE, Covington, KY",Covington,KY,"$53,770","4100 block of madison pike, covington, ky"
"12TH AND SCOTT ST, Covington, KY",Covington,KY,"$53,770","12th and scott st, covington, ky"
"10500 BLOCK MONTICELLO FOREST CIR, JEFFERSONTOWN, KY",JEFFERSONTOWN,KY,"$78,929","10500 block monticello forest cir, jeffersontown, ky"
"100 BLOCK OF EDGEWOOD DR, Hardin County, KY",Hardin County,KY,"$64,136","100 block of edgewood dr, hardin county, ky"
"PROVIDENT WAY AND PATRIOT PKWY, Hardin County, KY",Hardin County,KY,"$64,136","provident way and patriot pkwy, hardin county, ky"
"1200 BLOCK OF WOODLAND DR, Hardin County, KY",Hardin County,KY,"$64,136","1200 block of woodland dr, hardin county, ky"
"WOODSIDE DR AND OAK DR, Hardin County, KY",Hardin County,KY,"$64,136","woodside dr and oak dr, hardin county, ky"
"INTERSTATE 75 NORTH, London, KY",London,KY,"$45,858","interstate 75 north, london, ky"
"I-75 AND HWY 80, London, KY",London,KY,"$45,858","i-75 and hwy 80, london, ky"
"CENTRE AVENUE, Coeburn, VA",Coeburn,VA,"$53,528","centre avenue, coeburn, va"
"2900 BLOCK OF CYPRESS STREET, Alexandria, LA",Alexandria,LA,"$49,049","2900 block of cypress street, alexandria, la"
"600 BLOCK OF FRED LOOP, Alexandria, LA",Alexandria,LA,"$49,049","600 block of fred loop, alexandria, la"
"500 BLOCK OF SOLOMON STREET, Alexandria, LA",Alexandria,LA,"$49,049","500 block of solomon street, alexandria, la"
"1600 BLOCK OF ENGLAND DRIVE, Alexandria, LA",Alexandria,LA,"$49,049","1600 block of england drive, alexandria, la"
"US-165 NB PASSING LA-844, Grayson, LA",Grayson,LA,"$47,917","us-165 nb passing la-844, grayson, la"
"ANDING HEIGHTS RD, Columbia, LA",Columbia,LA,"$53,750","anding heights rd, columbia, la"
"US-165 NEAR MCQUERRY ST, Columbia, LA",Columbia,LA,"$53,750","us-165 near mcquerry st, columbia, la"
"OLIVE ST NEAR LA-127, Olla, LA",Olla,LA,"$34,333","olive st near la-127, olla, la"
"200 BLOCK OF SOUTH HEIGHTS RD, Columbia, LA",Columbia,LA,"$53,750","200 block of south heights rd, columbia, la"
"900 BLOCK OF W KRUEGER LANE, Bridge City, LA",Bridge City,LA,"$50,282","900 block of w krueger lane, bridge city, la"
"LOUISIANA AVE, Lake Charles, LA",Lake Charles,LA,"$54,761","louisiana ave, lake charles, la"
"100 BLOCK OF EDDY STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","100 block of eddy street, lake charles, la"
"RYAN STREET AND PRIEN LAKE ROAD, Lake Charles, LA",Lake Charles,LA,"$54,761","ryan street and prien lake road, lake charles, la"
"2700 BLOCK OF ERNEST STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","2700 block of ernest street, lake charles, la"
"ENTERPRISE BOULEVARD AND ALAMO STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","enterprise boulevard and alamo street, lake charles, la"
"LOUISIANA AVENUE AND ALAMO STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","louisiana avenue and alamo street, lake charles, la"
"500 BLOCK OF W LAGRANGE STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","500 block of w lagrange street, lake charles, la"
"WEST 18TH STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","west 18th street, lake charles, la"
"RYAN STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","ryan street, lake charles, la"
"W 18TH STREETS, Lake Charles, LA",Lake Charles,LA,"$54,761","w 18th streets, lake charles, la"
"ENTERPRISE BLVD, Lake Charles, LA",Lake Charles,LA,"$54,761","enterprise blvd, lake charles, la"
"COMMON STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","common street, lake charles, la"
"17800 BLOCK OF FRENCHTOWN RD, CENTRAL, LA",CENTRAL,LA,"$82,714","17800 block of frenchtown rd, central, la"
"3100 BLOCK OF ARTHUR RAY TEAGUE PKWY, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","3100 block of arthur ray teague pkwy, bossier city, la"
"3200 BLOCK OF STAFFORD ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","3200 block of stafford st, bossier city, la"
"900 BLOCK OF WESTGATE DR, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","900 block of westgate dr, bossier city, la"
"3200 BLOCK OF ARTHUR RAY TEAGUE PKWY AND MCDADE ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","3200 block of arthur ray teague pkwy and mcdade st, bossier city, la"
"2700 BLOCK OF TRICHEL ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","2700 block of trichel st, bossier city, la"
"3200 BLOCK OF ROSE PL, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","3200 block of rose pl, bossier city, la"
"700 BLOCK OF WESTGATE DR, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","700 block of westgate dr, bossier city, la"
"700 BLOCK OF EDGAR ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","700 block of edgar st, bossier city, la"
"2600 BLOCK OF TRICHEL ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","2600 block of trichel st, bossier city, la"
"1600 BLOCK OF ARTHUR RAY TEAGUE PKWY AND SHADY GROVE DR, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","1600 block of arthur ray teague pkwy and shady grove dr, bossier city, la"
"600 BLOCK OF GARDEN ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","600 block of garden st, bossier city, la"
"500 BLOCK OF MCDADE ST AND ARTHUR RAY TEAGUE PKWY, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","500 block of mcdade st and arthur ray teague pkwy, bossier city, la"
"800 BLOCK OF MCDADE ST AND HOYER ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","800 block of mcdade st and hoyer st, bossier city, la"
"2300 BLOCK OF WALNUT ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","2300 block of walnut st, bossier city, la"
"2600 BLOCK OF BARBARA ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","2600 block of barbara st, bossier city, la"
"2900 BLOCK OF STAFFORD ST AND WESTGATE DR, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","2900 block of stafford st and westgate dr, bossier city, la"
"2500 BLOCK OF HOYER ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","2500 block of hoyer st, bossier city, la"
"3100 BLOCK OF ARTHUR RAY TEAGUE PKWY AND WESTGATE DR OFF S, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","3100 block of arthur ray teague pkwy and westgate dr off s, bossier city, la"
"3100 BLOCK OF ARTHUR RAY TEAGUE PKWY AND WESTGATE DR OFF SOUTH, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","3100 block of arthur ray teague pkwy and westgate dr off south, bossier city, la"
"2600 BLOCK OF HOYER ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","2600 block of hoyer st, bossier city, la"
"2500 BLOCK OF TRICHEL ST, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","2500 block of trichel st, bossier city, la"
"3400 BLOCK OF ARTHUR RAY TEAGUE PKWY AND LIVE CASINO BLVD, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","3400 block of arthur ray teague pkwy and live casino blvd, bossier city, la"
"3400 BLOCK OF ARTHUR RAY TEAGUE PKWY, BOSSIER CITY, LA",BOSSIER CITY,LA,"$54,100","3400 block of arthur ray teague pkwy, bossier city, la"
"VETERANS BOULEVARD AND CLEARVIEW PARKWAY, Metairie, LA",Metairie,LA,"$72,070","veterans boulevard and clearview parkway, metairie, la"
"3600 BLOCK OF WILLIAMS BOULEVARD, Kenner, LA",Kenner,LA,"$60,557","3600 block of williams boulevard, kenner, la"
"FUSILIER STREET, Eunice, LA",Eunice,LA,"$37,828","fusilier street, eunice, la"
"300 BLOCK OF JACOBS AVENUE, Crowley, LA",Crowley,LA,"$28,827","300 block of jacobs avenue, crowley, la"
"PEACH AND ARDOIN STREETS, Ville Platte, LA",Ville Platte,LA,"$24,341","peach and ardoin streets, ville platte, la"
"LENNIE JOHNSON STREET, Crowley, LA",Crowley,LA,"$28,827","lennie johnson street, crowley, la"
"1000 BLOCK OF NOON STREET, Rayne, LA",Rayne,LA,"$34,725","1000 block of noon street, rayne, la"
"MAIN STREET AND WEST MARTIN LUTHER KING JR. DRIVE, Opelousas, LA",Opelousas,LA,"$34,271","main street and west martin luther king jr. drive, opelousas, la"
"GASPARD STREET, Eunice, LA",Eunice,LA,"$37,828","gaspard street, eunice, la"
"500 BLOCK OF LA-757, Eunice, LA",Eunice,LA,"$37,828","500 block of la-757, eunice, la"
"700 BLOCK OF MLK DRIVE, Ville Platte, LA",Ville Platte,LA,"$24,341","700 block of mlk drive, ville platte, la"
"800 BLOCK OF ST. CYR STREET, Opelousas, LA",Opelousas,LA,"$34,271","800 block of st. cyr street, opelousas, la"
"GROLEE STREET AND PRUDHOMME LANE, Opelousas, LA",Opelousas,LA,"$34,271","grolee street and prudhomme lane, opelousas, la"
"500 BLOCK OF SAPPHIRE STREET, Opelousas, LA",Opelousas,LA,"$34,271","500 block of sapphire street, opelousas, la"
"900 BLOCK OF NORTH MARKET STREET, Opelousas, LA",Opelousas,LA,"$34,271","900 block of north market street, opelousas, la"
"900 BLOCK OF SOUTH UNION STREET, Opelousas, LA",Opelousas,LA,"$34,271","900 block of south union street, opelousas, la"
"500 BLOCK OF EAST SOUTH STREET, Opelousas, LA",Opelousas,LA,"$34,271","500 block of east south street, opelousas, la"
"LINCOLN STREET, Opelousas, LA",Opelousas,LA,"$34,271","lincoln street, opelousas, la"
"BRADLEY STREET, Lake Charles, LA",Lake Charles,LA,"$54,761","bradley street, lake charles, la"
"300 BLOCK OF TO 500 W MCNEESE, Lake Charles, LA",Lake Charles,LA,"$54,761","300 block of to 500 w mcneese, lake charles, la"
"1200 BLOCK OF LAFAYETTE STREET, Houma, LA",Houma,LA,"$56,823","1200 block of lafayette street, houma, la"
"COLUMBUS AND ELIZA STREETS, Houma, LA",Houma,LA,"$56,823","columbus and eliza streets, houma, la"
"1300 BLOCK OF BARATARIA AVE, Houma, LA",Houma,LA,"$56,823","1300 block of barataria ave, houma, la"
"BARATARIA BOULEVARD, Houma, LA",Houma,LA,"$56,823","barataria boulevard, houma, la"
"6400 BLOCK OF LA-24, Houma, LA",Houma,LA,"$56,823","6400 block of la-24, houma, la"
"BAYOU LACARPE ROAD, Houma, LA",Houma,LA,"$56,823","bayou lacarpe road, houma, la"
"1100 BLOCK OF LAFAYETTE STREET, Houma, LA",Houma,LA,"$56,823","1100 block of lafayette street, houma, la"
"LYNWOOD DRIVE, Houma, LA",Houma,LA,"$56,823","lynwood drive, houma, la"
"1300 BLOCK OF BARATARIA BOULEVARD, Houma, LA",Houma,LA,"$56,823","1300 block of barataria boulevard, houma, la"
"1300 BLOCK OF BARATARIA AVENUE, Houma, LA",Houma,LA,"$56,823","1300 block of barataria avenue, houma, la"
"I-20 W AND B PASSING LA-34, Monroe, LA",Monroe,LA,"$36,550","i-20 w and b passing la-34, monroe, la"
"RIVERBEND DR S AND B, West Monroe, LA",West Monroe,LA,"$47,129","riverbend dr s and b, west monroe, la"
"JACKSON ST AND MULBERRY ST, Monroe, LA",Monroe,LA,"$36,550","jackson st and mulberry st, monroe, la"
